Source,Country,Commodity_Count,Map_Class
MCS2023,China,26,19 to 26
MCS2023,Canada,21,19 to 26
MCS2023,Germany,13,13 to 18
MCS2023,Brazil,11,7 to 12
MCS2023,Mexico,10,7 to 12
MCS2023,South Africa,10,7 to 12
MCS2023,Japan,7,7 to 12
MCS2023,Australia,6,4 to 6
MCS2023,Belgium,6,4 to 6
MCS2023,India,6,4 to 6
MCS2023,Russia,6,4 to 6
MCS2023,Republic of Korea,4,4 to 6
MCS2023,Chile,3,1 to 3
MCS2023,Israel,3,1 to 3
MCS2023,Kazakhstan,3,1 to 3
MCS2023,Philippines,3,1 to 3
MCS2023,Austria,2,1 to 3
MCS2023,Bolivia,2,1 to 3
MCS2023,Finland,2,1 to 3
MCS2023,Indonesia,2,1 to 3
MCS2023,Italy,2,1 to 3
MCS2023,Jamaica,2,1 to 3
MCS2023,Madagascar,2,1 to 3
MCS2023,Malaysia,2,1 to 3
MCS2023,Morocco,2,1 to 3
MCS2023,Norway,2,1 to 3
MCS2023,Peru,2,1 to 3
MCS2023,Ukraine,2,1 to 3
MCS2023,Vietnam,2,1 to 3
MCS2023,Belarus,1,1 to 3
MCS2023,Congo (Kinshasa),1,1 to 3
MCS2023,Estonia,1,1 to 3
MCS2023,Europe,1,1 to 3
MCS2023,France,1,1 to 3
MCS2023,Gabon,1,1 to 3
MCS2023,Georgia,1,1 to 3
MCS2023,Guyana,1,1 to 3
MCS2023,Ireland,1,1 to 3
MCS2023,Netherlands,1,1 to 3
MCS2023,Poland,1,1 to 3
MCS2023,Sierra Leone,1,1 to 3
MCS2023,Spain,1,1 to 3
MCS2023,Switzerland,1,1 to 3
MCS2023,Taiwan,1,1 to 3
MCS2023,Turkey,1,1 to 3
MCS2023,United Arab Emirates,1,1 to 3
