Source,Year,State,State_Notes,Value _millions_prelim_2022,State_Rank_prelim_2022,State_percent_total_prelim,Principal_commodities
MCS2023,2022_estimated,Alabama,,1920,17,1.96,"Cement (masonry and portland), lime, sand and gravel (construction), sand and gravel (industrial), stone (crushed). "
MCS2023,2022_estimated,Alaska,,4510,6,4.59,"Gold, lead, sand and gravel (construction), silver, zinc."
MCS2023,2022_estimated,Arizona,,10100,1,10.31,"Cement (masonry and portland), copper, molybdenum mineral concentrates, sand and gravel (construction), stone (crushed)."
MCS2023,2022_estimated,Arkansas,,1100,29,1.12,"Bromine, cement (masonry and portland), sand and gravel (construction), sand and gravel (industrial), stone (crushed)."
MCS2023,2022_estimated,California,California also produces significant quantities of titanium minerals concentrates and Florida and Georgis produce significant quantities of rare earths and titanium and zirconium mineral concentrates. Breakdown by State is not available to avoid disclosure of company proprietary data. ,5610,4,5.71,"Boron minerals, cement (masonry and portland), rare earths, sand and gravel (construction), stone (crushed)."
MCS2023,2022_estimated,Colorado,,1870,19,1.91,"Cement (masonry and portland), gold, molybdenum mineral concentrates, sand and gravel (construction), stone (crushed)."
MCS2023,2022_estimated,Connecticut,,194,43,0.2,"Sand and gravel (construction), stone (crushed), stone (dimension)."
MCS2023,2022_estimated,Delaware,"Partial total; excludes values that must be withheld to avoid disclosing company proprietary data, which are included with ""Undistributed."" State rank is based on total, unadjusted, State values.",25,50,0.03,"Magnesium compounds, sand and gravel (construction), stone (crushed)."
MCS2023,2022_estimated,Florida,"Partial total; excludes values that must be withheld to avoid disclosing company proprietary data, which are included with ""Undistributed."" State rank is based on total, unadjusted, State values. California also produces significant quantities of titanium minerals concentrates and Florida and Georgis produce significant quantities of rare earths and titanium and zirconium mineral concentrates. Breakdown by State is not available to avoid disclosure of company proprietary data. ",2810,7,2.86,"Cement (masonry and portland), clay (attapulgite and koalin), phosphate rock, sand and gravel (construction), stone (crushed)."
MCS2023,2022_estimated,Georgia,California also produces significant quantities of titanium minerals concentrates and Florida and Georgis produce significant quantities of rare earths and titanium and zirconium mineral concentrates. Breakdown by State is not available to avoid disclosure of company proprietary data. ,2320,12,2.37,"Cement (masonry and portland), clay (kaolin and montmorillonite), sand and gravel (construction), sand and gravel (industrial), stone (crushed)."
MCS2023,2022_estimated,Hawaii,,156,44,0.16,"Sand and gravel (construction), stone (crushed)."
MCS2023,2022_estimated,Idaho,"Partial total; excludes values that must be withheld to avoid disclosing company proprietary data, which are included with ""Undistributed."" State rank is based on total, unadjusted, State values.",371,33,0.38,"Lead, phosphate rock, sand and gravel (construction), silver, zinc."
