,job_description,link,company,salary,Employment type,search_term,location,salary_lower_range,salary_higher_range,salary_middle_range,job_title,state,is_remote
0,Data Scientist,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D54-4lvN4MbGSrnJofeUamWKLLgEBO_tp8_vrY9hHPouyF8N0bHUfLE4EnkKdB3LtrIaZgDx90VgieTwsxWd2MnCbXLp45GfsAH7xJ6a5w_5d5-Xssv7brWSwaZiFRxYyj54PwVS-as59YDCHNernlaf9BbqppQuuC1gU9tsfmpo8SzQX_tHKpEGXoZLvpUYDIEM8Yny5na4aIycCUmAXsLA8CWxbLPwPW_51NHBYjPSNPCvIaQJ-BkhcZFHRndkrzUtL0SAgce1jKIFgQZ-Kf-xyb1Dn1JEX9gNFjdzrX0go9PPrFrY41fwp7loAQQBn01E0ezUnpPj48of3dPDxt2UIybFW3FR6ceHB9Qvjad0QQPvV-kwKB9YBCSnbcei9DFFsmo0PKZnYGMVstQLhWkSBP3ntRb_Gcr2E_BhU4eTiQEZdpqjDQsPs_nVmwIG3skaS8jyJEQPrFvMhHT9A0Fk67NLk98kn6-mfCSLUSvbeR1-MkQYOLPPsD9eIX-ynybtaHgLm1Mbd1ZsTx7ar6Dawfa3ZhAFTpFZHfxup0JyOTGCp0blT-P0f-CAhN1jotYbhcAdPlaLBshmyMpJ6P&xkcb=SoD0-_M3JkVBt8g1FL0LbzkdCdPP&p=0&fvj=1&vjs=3,EpochGeo,"$130,000 - $175,000 a year",Full-time,Data-Scientist,"Reston, VA 20191 ",130000.0,175000.0,152500.0,Data Scientist,VA,N
1,Data Scientist (Cleared) - Hybrid,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DSYylACSg1DQGEyO4cxxwKRDBdzsQD8Ezqb3xaeFD8w2bUcpHUj6MJLSCuqCkYknXyxYCE4dtRLGb_PO0KkXiGrHkoTymt5_piIMt-eTbVJiPJ4_pKuVj3Di89nBsaArTBlD60t82BtQsZQDZu86kYuGE5_2UuRe3IitUsqeJ777y7OQS3qVUTJRH9bi5lD47A89b7SYaICeSTpAVXalxWIcmf1o1DpGe9kl6swBel1WD8hgXPZmarHojq48snI3v4Zk8PL7MmUmhIUSIl8aNtaPsI1OUHpkNLH96bYQI-WfeHpgWnTdZysrHuAydgrZCnTwDb_xAgoE1_wvzU8b9XLuU7EHsF38742wyeqSa94w1yiy6dhRhxf4cN27JpY-bjXCievKul8TgbbyNLmYIKkUfwKZ6QVcHV_RcRghwYTjQe79CUZMvloSqAqlcOS9HFFZRP1ckBI4KnxcSLvABEg4O9Ze8zunyLDRqcIePNY3AcoVCfWeKA6LZAA7yUcJwPI6fFP4vUq7PpLVVxScIIJYEoaErNORIfEYQ1Sm2bHGfimtSEKOEcdEucusiYxDQhJbp_MeCmWYJx7oVxCgG68GbQ_pyLgoOjmXmkzel3JkQsqFX4r8Ic2mU6uTUKuNdnK7m59tept4B6ZJxxnWjTKxN6szfq8XO-OQfXgrRLvY8tPXRr4gMwalSjUZCo3Zl90z2Vr3OVSmLgzh4Sid-ppW8Au1XeruzoQmFVhhvHTVvYPOxyi1rSaAY2L_7NcF1Shpy-97_VzM8iPBHj0BvCeteebe8ThCw=&xkcb=SoBA-_M3JkVBt8g1FL0KbzkdCdPP&p=1&fvj=0&vjs=3,ICF,"$77,890 - $132,413 a year",Full-time,Data-Scientist,"Arlington, VA 22209 ",77890.0,132413.0,105151.5,Data Scientist,VA,N
4,"Global Financial Crimes - Model Governance & Analytics, AVP - Hybrid (TX)",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DmIoLEfx3e5FKWdzPrCZVymN6nI1W4eX3Ta9yHxbrh7YHdP-vRG23PZS0LPJnxTBlrhNhuxb5tNE_XHHiBZafTNXu4JoP4hgJ6h63IBytPz-qEO2UgpvwioPhs10gX2NJiejSE8f8jc-LuX5FuFLCuJ822OlaVJzGttlllHV9-OeQkmtIeGaygqu77g3FKItfA7YFtYU8ypXAcLhYXEcYmBSZkrw9Fk64ARMecnXmUW27nFH7KTmm-A_9O_XM6KObrhFoNQ3CUIoMkSRDHIGUvuZiTSqkZcLfB-BQpHg4qAfwLA0QbSa0JkANhMnbo9uXR01Mhls3R2ysW0IRsBQG1nDwz0KefCYwaNnaNPKWTdtPBsA8vGmSKYn5hYdxpk7N0Ns3qqRiRoFOzARNjZq68QQ3ivs1x1uL1LIpeyCuWyaBowRyP7AOwX41uTq60SGEXk1-atfG9i-cJ7-_EG5eTgHj5G6TkkHTOpGx97b7Kog7QMlBhorjgEbXNXZjYp8e7kpnrkohet9dYv0HmKeo4lt6kwqjHjHNqIeVgpVxKqjv5Nikp--pE1aM17rSSNA0uq3LaIn5OsH9c8ZOUyAfwpCb9YI5SWoSfTYRRx9YpotVTjLvK4y7QTg-4UXBqdnMHRHWkmzpZmBSfatRLWUIfBYCXsVD3UvPSnJRvIHe6C7Nh0_3BZ_uZd9epXD7bH182CTKZEBbVXw3xj5gc3NY8hO7UHl-0Y3DubXhG3UNi038ryy9lfbIjsgYaHXhO0JFaKzWJZj7EDedXIwrGy92xLI1-rpkphVxBfR3eUiJ9JQ==&xkcb=SoDn-_M3JkVBt8g1FL0PbzkdCdPP&p=4&fvj=0&vjs=3,MUFG,"$85,000 - $105,000 a year",Full-time,Data-Scientist,"Hybrid remote in Irving, TX",85000.0,105000.0,95000.0,Business Analyst,TX,N
5,Data Scientist,https://www.indeed.com/rc/clk?jk=bff36fd9f50d8b87&fccid=54a1830e9cce3cc0&vjs=3,Flow,"$130,000 - $170,000 a year",Full-time,Data-Scientist,"New York, NY 10012 ",130000.0,170000.0,150000.0,Data Scientist,NY,N
9,Data Scientist,https://www.indeed.com/rc/clk?jk=c4949395d407ec75&fccid=be3b11aa573faee7&vjs=3,CVS Health,"$80,500 - $170,000 a year",Full-time,Data-Scientist,"New York, NY 10013 ",80500.0,170000.0,125250.0,Data Scientist,NY,N
10,Data Scientist,https://www.indeed.com/rc/clk?jk=9cfb3721b4c555c1&fccid=f7029f63fe5c906e&vjs=3,Verizon,"$93,000 - $173,000 a year",Full-time,Data-Scientist,"Remote in New York, NY",93000.0,173000.0,133000.0,Data Scientist,NY,N
11,Data Scientist,https://www.indeed.com/company/Helix-Tech-IT-solution/jobs/Data-Scientist-a0a42a3f740c1771?fccid=fda49e966b499c71&vjs=3,Helix Tech IT solution,"$140,383 - $155,298 a year",Full-time,Data-Scientist,"Hybrid remote in New York, NY 10001",140383.0,155298.0,147840.5,Data Scientist,NY,N
12,Data Scientist,https://www.indeed.com/rc/clk?jk=f9b27c81483c5b67&fccid=49efeede38f70572&vjs=3,Simpson Thacher & Bartlett LLP,"$145,000 - $165,000 a year",Full-time,Data-Scientist,"New York, NY 10017 ",145000.0,165000.0,155000.0,Data Scientist,NY,N
13,Junior Data Scientist,https://www.indeed.com/company/BRdata/jobs/Junior-Data-Scientist-daa464d6b9fc49f5?fccid=12ca86174808025d&vjs=3,BRdata,"From $65,000 a year",Full-time,Data-Scientist,"Melville, NY 11747",65000.0,65000.0,65000.0,Data Scientist,NY,N
31,Senior Data Analyst,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C5IatSLh_Ak1q39eQQoPIxD737RW9NeiYGvIRXkrLjEBkC4LI6KweFMaB7igpdWMmoOiobCc2wOXr1NhgmiRez6AQqwfJtzn4Ls-NpbqdGh0aVwyCKoVFC2UxWAQVC4ePprDLkM81N_fepzCVMNoVkxWMcSC5amvEEofuvyErQ1F4sggXwrQc5PySFhAar446MzId0aTJO9mhZVqhSvwtfdg5ClXWa3fbs1nv3OfnOUVghGGaUZrd5kyujD0EDPDtrGRUXQW-h8BRCBEkh7hJD5l74SdKNgaWnMsJHpdLZDiP-4JlQ9o4yjIDVsjn8YIKOk_leXbPXpXBxZ27TR9cr-u2e5FBlPUBVEWyDHEbsMh-n-xPvIVUrpN2z_CgpRIVZLC6yyLhV5GLDQZ5blpUKa9Tbj-8rrTVTWbRWvoYPo1-yN3FBbXUGugI4vyCAGUYOa1Mj1LMIYoqDbWKM6XSYcUPPC6TIt5X3geKOMYD3IrTdJmtxdXl4XhRD2FPjFHrIODuTcQCsKH2djmjJKep-g4wdhG3Zho1Sc4kOsmZwgLWGqrseHWD_ZLJT4tr5rFNXUzBJr25qHIg6GzM68-maQbijh-Sm5UkfnehHlGawFUPbd2g2mAfRWI-PPr3-KmLRTOHDTVNtExhrLfetAxKSRCJ2DJ0D0GVUXj1AsSoU3XKFuqanquBkgq7UJ5RMuBJqNWYDIe92jQ==&xkcb=SoAn-_M3JkVdBV2QzB0ObzkdCdPP&p=1&fvj=0&vjs=3,Kforce,$46.75 - $63.25 an hour,Contract,Data-Scientist,"Towson, MD 21204",97240.0,131560.0,114400.0,Data Analyst,MD,N
32,Data Scientist I,https://www.indeed.com/rc/clk?jk=06e360a433ea6597&fccid=7ca1385998532a85&vjs=3,Conde Nast,"$100,000 - $150,000 a year",Full-time,Data-Scientist,"New York, NY",100000.0,150000.0,125000.0,Data Scientist,NY,N
33,Data Scientist,https://www.indeed.com/rc/clk?jk=b0feb04578fe47ca&fccid=7d7b563c6a3a9653&vjs=3,NYC Careers,"$61,206 - $84,805 a year",Full-time,Data-Scientist,"Manhattan, NY 10004 ",61206.0,84805.0,73005.5,Data Scientist,NY,N
34,2024 University Graduate - Data Scientist,https://www.indeed.com/rc/clk?jk=09fa128742fe72f7&fccid=f89deb5a97c7738a&vjs=3,Adobe,"$82,600 - $153,100 a year",Full-time,Data-Scientist,"Seattle, WA 98103 ",82600.0,153100.0,117850.0,Data Scientist,WA,N
35,Data Scientist,https://www.indeed.com/company/New-York-City-Council/jobs/Data-Scientist-3d55d6b2504c98f0?fccid=4df247a3c63cf550&vjs=3,New York City Council,"$75,000 - $85,000 a year",Full-time,Data-Scientist,"New York, NY 10007 ",75000.0,85000.0,80000.0,Data Scientist,NY,N
36,Marketing Analytics Data Scientist - Senior Associate,https://www.indeed.com/rc/clk?jk=24d87bd5c6f07125&fccid=c46d0116f6e69eae&vjs=3,JPMorgan Chase & Co,"$114,000 - $170,000 a year",Full-time,Data-Scientist,"Brooklyn, NY 11245 ",114000.0,170000.0,142000.0,Data Scientist,NY,N
37,Entry Level - Associate Data Scientist - Commercial,https://www.indeed.com/rc/clk?jk=10a0d9d6df49cc76&fccid=de71a49b535e21cb&vjs=3,IBM,"$93,000 - $121,000 a year",Full-time,Data-Scientist,"Atlanta, GA 30301 ",93000.0,121000.0,107000.0,Data Scientist,GA,N
38,Data Scientist (Remote),https://www.indeed.com/rc/clk?jk=1bfc37543f33f2ed&fccid=af95ff2f9c48b702&vjs=3,Vail Resorts,"$82,800 - $106,425 a year",Full-time,Data-Scientist,Remote,82800.0,106425.0,94612.5,Data Scientist,Remote,Y
40,Data Scientist,https://www.indeed.com/company/Inclusively/jobs/Data-Scientist-3026a57a76ad0a9c?fccid=ef49cdc7b08c5254&vjs=3,Inclusively,"$140,000 a year",Full-time,Data-Scientist,"New York, NY 10019 ",140000.0,140000.0,140000.0,Data Scientist,NY,N
41,Data Scientist,https://www.indeed.com/rc/clk?jk=db7eb033b49d302a&fccid=c3b8389ba1f05d96&vjs=3,U.S. Army Communications Electronics Command,"$96,808 - $125,851 a year",Full-time,Data-Scientist,"Tobyhanna, PA",96808.0,125851.0,111329.5,Data Scientist,PA,N
42,Data Scientist,https://www.indeed.com/company/Saporis-Engineering-LLC/jobs/Data-Scientist-cad74d0f40aa583f?fccid=651b872b3227d1b8&vjs=3,Saporis Engineering LLC,"$150,000 - $180,000 a year","Full-time
+1",Data-Scientist,"Hybrid remote in New York, NY 10271",150000.0,180000.0,165000.0,Data Scientist,NY,N
43,Data Labeler (Contract),https://www.indeed.com/rc/clk?jk=f74c8671e0220301&fccid=cfbc2963963231b6&vjs=3,EvolutionIQ,$30 an hour,"Full-time
+1",Data-Scientist,"New York, NY",62400.0,62400.0,62400.0,Business Analyst,NY,N
77,Data Scientist,https://www.indeed.com/company/Cognize-tech-solutions/jobs/Data-Scientist-19c0f904e582d0c7?fccid=f4398aa555827ed9&vjs=3,COGNIZE TECH SOLUTIONS,"$65,000 - $80,000 a year","Full-time
+1",Data-Scientist,Remote,65000.0,80000.0,72500.0,Data Scientist,Remote,Y
78,Senior Data Scientist - Enterprise Digital Analytics,https://www.indeed.com/rc/clk?jk=931effa91cddbb42&fccid=be3b11aa573faee7&vjs=3,CVS Health,"$103,500 - $200,000 a year",Full-time,Data-Scientist,"Hybrid remote in New York, NY 10013",103500.0,200000.0,151750.0,Data Scientist,NY,N
80,Materials Data Associate- Receiving - Mount Sinai Hospital - Full Time - Days,https://www.indeed.com/rc/clk?jk=6c3284685c547268&fccid=c007936ceb766fe5&vjs=3,Mount Sinai,$22.87 - $24.13 an hour,Full-time,Data-Scientist,"New York, NY 10029 ",47569.6,50190.4,48880.0,Business Analyst,NY,N
84,Data Scientist,https://www.indeed.com/rc/clk?jk=5683f08ab59579d5&fccid=cadae6c1a84bf6d2&vjs=3,Octaura,"$150,000 - $175,000 a year",Full-time,Data-Scientist,"New York, NY 10001 ",150000.0,175000.0,162500.0,Data Scientist,NY,N
85,Data Scientist-NYC-FTE,https://www.indeed.com/company/THEMESOFT/jobs/Data-Scientist-dd51baa6e5b45d9b?fccid=add00ccb9ea1b563&vjs=3,THEMESOFT,"$70,000 - $100,000 a year",Full-time,Data-Scientist,"Remote in New York, NY",70000.0,100000.0,85000.0,Data Scientist,NY,N
86,Data Analyst I-Transgender Program-Mount Sinai Hospital-Full Time Days,https://www.indeed.com/rc/clk?jk=2862d648259a57d5&fccid=c007936ceb766fe5&vjs=3,Mount Sinai,"$58,661 - $74,250 a year",Full-time,Data-Scientist,"New York, NY 10011 ",58661.0,74250.0,66455.5,Data Analyst,NY,N
87,Data Scientist (Apprentice Conversion),https://www.indeed.com/rc/clk?jk=e38840dc3811c687&fccid=de71a49b535e21cb&vjs=3,IBM,"$90,000 - $169,000 a year",Full-time,Data-Scientist,"Buffalo, NY 14201 ",90000.0,169000.0,129500.0,Data Scientist,NY,N
88,Healthcare Data Analyst,https://www.indeed.com/rc/clk?jk=37cc2c8087b45a89&fccid=9a4203cb5eab1466&vjs=3,Reveleer,"$120,000 - $140,000 a year",Full-time,Data-Scientist,Remote,120000.0,140000.0,130000.0,Data Analyst,Remote,Y
135,Mid-level Data Scientist (Remote),https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DSYylACSg1DQGEyO4cxxwKRDBdzsQD8Ezqb3xaeFD8w2bUcpHUj6MJLSCuqCkYknUf2W_dAr5oNEG7dgC_px-_8zlZznZWCrhgSUYC6WE5W8NWDtilGzRzRSdDyieCk6N1BKM1dVm_VM8mKnDhJn5SadBvZ8aRrDyUaiIrb6oaPFj8kRQs1ROUtbXELI-8mk6RjMVi10G7LW6gayhlnpc16l56F6CRngaVd6q_sTX5ATRjunzdf5vVNpSQTUboQ-pFy340hafXXUjFvKfmPmKX9j9SYFCvdr2vdobUPJfw2L-JRN4iasVRv4iYlZlpns0XDPIh-ayyQA39kiqZ_tFtMhYArPqXpmGSqWIWzE0PfkL3boymv997-MvC0pMRafOJhJzC9AXbm44ZCu4_1VlicqCJx3clXQMlWDyJM-CFKWRj58EKeApKWToP8nfkPDmAo4ui06nyq-AfTd-a3HL96btZiKPoeFle-CSVscV6blTkBAwUvQv7Ij5D0wnHj4XHDSKZN3yjkYiC36Buq1RWnGqECQqeWqKV_UwBqmd0-jlF4txH_JUylgwdNOIvsvjoqdhK9AYog9-R-8E8bbGQP5vyzSI5X3sP39v3Ec6t2LjBu8Yqpt8CgrAJZH-xhwCUxh3_MseeblFpPdvAyLBQbN6aeQzupH_R6ObUFw_trrlpQcG6_Rx59wea4JWCdh0d5eVm_WWzABHD4Oftx3KD86qL4O0URXo_If1T9hMdjJ2oy9TDs03-PmR-M2QKRbs=&xkcb=SoDj-_M3JkVZGj2YEZ0LbzkdCdPP&p=0&fvj=0&vjs=3,ICF,"$68,325 - $116,152 a year",Full-time,Data-Scientist,"Remote in Reston, VA",68325.0,116152.0,92238.5,Data Scientist,VA,N
138,Data Scientist - III,https://www.indeed.com/rc/clk?jk=24cea3c6b722df47&fccid=b73278f10efdecc4&vjs=3,eTeam Inc.,$70 - $75 an hour,Contract,Data-Scientist,"Remote in Basking Ridge, NJ 07920",145600.0,156000.0,150800.0,Data Scientist,NJ,N
140,"Decision Scientist, Government Analytics",https://www.indeed.com/rc/clk?jk=f9c59ccd147ded3b&fccid=be3b11aa573faee7&vjs=3,CVS Health,"$80,500 - $170,000 a year",Full-time,Data-Scientist,"New York, NY 10013 ",80500.0,170000.0,125250.0,Data Scientist,NY,N
141,Senior Data Scientist,https://www.indeed.com/company/Global-Communications-Group/jobs/Senior-Data-Scientist-a80aaa8ff9525c5a?fccid=9bb30a7488b23639&vjs=3,Global Communications Group,"$141,945 - $151,843 a year",Full-time,Data-Scientist,"Remote in New York, NY",141945.0,151843.0,146894.0,Data Scientist,NY,N
145,Junior Data Scientist,https://www.indeed.com/rc/clk?jk=cb3a9a178940cb6a&fccid=18d58239dbfc6097&vjs=3,Publicis Media,"$70,000 - $105,000 a year",Full-time,Data-Scientist,"New York, NY 10014 ",70000.0,105000.0,87500.0,Data Scientist,NY,N
